Unsuccessful Combination Attempt Number,Reagent Role,Reagent,Mass,Volume
,,,mg,mL
,Monomer,"trans-p-menth-6-ene-2,8diol",1000,
,Base,NaOH,305.410279,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
95,Monomer,Oxalyl Chloride,616.8319675,
,Monomer,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1000,
,Base,NaOH,229.7104106,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
96,Monomer,Oxalyl Chloride,981.8776371,
,Monomer,"2,5-dimethyl-3-hexyne-2,5-diol",1000,
,Base,NaOH,365.6547117,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
98,Monomer,Succinyl Chloride,1001.274596,
,Monomer,"trans-p-menth-6-ene-2,8diol",1000,
,Base,NaOH,305.410279,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
99,Monomer,Succinyl Chloride,753.0958008,
,Monomer,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1000,
,Base,NaOH,229.7104106,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
100,Monomer,Succinyl Chloride,1198.783404,
,Monomer,"2,5-dimethyl-3-hexyne-2,5-diol",1000,
,Base,NaOH,365.6547117,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
101,Monomer,Adipoyl Chloride,1000,
,Monomer,Dianhydro-D-glucitol,725.6634531,
,Base,NaOH,258.2592024,
,Solvent,Water,,7.5
,Solvent,Cyclohexane,,7.5
,,,,
102,Monomer,Adipoyl Chloride,1000,
,Monomer,"trans-p-menth-6-ene-2,8diol",845.6139828,
,Base,NaOH,258.2592024,
,Solvent,Water,,7.5
,Solvent,Cyclohexane,,7.5
,,,,
103,Monomer,Azelaoyl chloride,1000,
,Monomer,"1,5-hexadiene-3,5-diol",460.9463656,
,Base,NaOH,209.9825944,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
104,Monomer,Adipoyl Chloride,1000,
,Monomer,"1,5-hexadiene-3,5-diol",566.9214684,
,Base,NaOH,258.2592024,
,Solvent,Water,,7.5
,Solvent,Cyclohexane,,7.5
,,,,
105,Monomer,Sebacoyl Chloride,2304.660943,
,Monomer,"1,5-hexadiene-3,5-diol",1000,
,Base,NaOH,455.546697,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
106,Monomer,Terephthaloyl Chloride,1000,
,Monomer,"1,5-hexadiene-3,5-diol",511.1005633,
,Base,NaOH,232.8301735,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
107,Monomer,Isophthaloyl Chloride,1000,
,Monomer,"trans-p-menth-6-ene-2,8diol",762.3521194,
,Base,NaOH,232.8301735,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
108,Monomer,Terephthaloyl Chloride,1000,
,Monomer,"trans-p-menth-6-ene-2,8diol",762.3521194,
,Base,NaOH,232.8301735,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
109,Monomer,Malonyl Chloride,1000,
,Monomer,"trans-p-menth-6-ene-2,8diol",1098.068303,
,Base,NaOH,335.3613467,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
110,Monomer,Azelaoyl chloride,1000,
,Monomer,"trans-p-menth-6-ene-2,8diol",687.5426559,
,Base,NaOH,209.9825944,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
111,Monomer,Sebacoyl Chloride,1545.104258,
,Monomer,"trans-p-menth-6-ene-2,8diol",1000,
,Base,NaOH,305.410279,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
112,Monomer,Terephthaloyl Chloride,1000,
,Monomer,"2,5-dimethyl-3-hexyne-2,5-diol",636.7487305,
,Base,NaOH,232.8301735,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
113,Monomer,Sebacoyl Chloride,924.976265,
,Monomer,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000,
,Base,pyridine,361.5809276,
,Solvent,DMF,,7.5
,Solvent,hexanes,,7.5
,,,,
114,Monomer,Azelaoyl chloride,1000,
,Monomer,"2,5-dimethyl-3-hexyne-2,5-diol",574.2647029,
,Base,NaOH,209.9825944,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
115,Monomer,Malonyl Chloride,1000,
,Monomer,"2,5-dimethyl-3-hexyne-2,5-diol",917.1530846,
,Base,NaOH,335.3613467,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
116,Monomer,Adipoyl Chloride,1000,
,Monomer,"2,5-dimethyl-3-hexyne-2,5-diol",706.2925601,
,Base,NaOH,258.2592024,
,Solvent,Water,,7.5
,Solvent,cylcohexane,,7.5
,,,,
117,Monomer,Malonyl Chloride,1000,
,Monomer,"1,5-hexadiene-3,5-diol",736.173369,
,Base,NaOH,335.3613467,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
118,Monomer,Succinyl Chloride,1129.643701,
,Monomer,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1500,
,Base,NaOH,344.565616,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
119,Monomer,Sebacoyl Chloride,1743.195423,
,Monomer,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1500,
,Base,NaOH,344.565616,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
120,Monomer,Terephthaloyl Chloride,1479.90104,
,Monomer,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1500,
,Base,NaOH,344.565616,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
121,Monomer,Isophthaloyl Chloride,986.6006936,
,Monomer,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1000,
,Base,NaOH,229.7104106,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
122,Monomer,Adipoyl Chloride,1334.18524,
,Monomer,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1500,
,Base,NaOH,344.565616,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
123,Monomer,Suberoyl chloride,512.9089262,
,Monomer,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",500,
,Base,NaOH,114.8552053,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
124,Monomer,Sebacoyl Chloride,1000,
,Monomer,Pinacol,449.3373984,
,Base,NaOH,197.6632174,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
125,Monomer,Sebacoyl Chloride,619.3878032,
,Monomer,"4,4'-Methylenebis(2,6-di-tert-butylphenol)",1000,
,Base,pyridine,242.1238521,
,Solvent,DMF,,7.5
,Solvent,Hexanes,,7.5
,,,,
126,Monomer,Malonyl Chloride,437.5105819,
,Monomer,"4,4′-Thiodiphenol",1000,
,Base,NaOH,259.5888594,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
127,Monomer,Terephthaloyl Chloride,630.1766465,
,Monomer,"Phenol Red, Free Acid",1000,
,Base,NaOH,259.5888594,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
128,Monomer,Sebacoyl Chloride,1000,
,Monomer,"Biphenyl-2,2′-diol",449.337,
,Base,NaOH,197.66,
,Solvent,Water,,7.5
